artist_name,track_name,album_name,release_year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
Taylor Swift,The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),12/11/21,0.00115,0.678,0.733,0,0.104,-5.025,0.0281,121.009,0.581,76,200280
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),12/11/21,0.274,0.631,0.518,0,0.088,-8.771,0.0303,93.023,0.205,87,613026
Taylor Swift,Fearless (Taylor__ Version),Fearless (Taylor's Version),09/04/21,0.0122,0.569,0.741,0,0.333,-4.963,0.0282,100.118,0.43,83,241591
Taylor Swift,Fifteen (Taylor__ Version),Fearless (Taylor's Version),09/04/21,0.116,0.559,0.646,0,0.32,-4.61,0.0272,95.466,0.289,73,294419
Taylor Swift,Love Story (Taylor__ Version),Fearless (Taylor's Version),09/04/21,0.13,0.627,0.792,3.97E-06,0.0845,-4.311,0.031,119.054,0.415,82,235766
Taylor Swift,Hey Stephen (Taylor__ Version),Fearless (Taylor's Version),09/04/21,0.106,0.788,0.571,0,0.0934,-6.135,0.0296,115.99,0.797,71,254254
Taylor Swift,White Horse (Taylor__ Version),Fearless (Taylor's Version),09/04/21,0.369,0.423,0.517,0,0.177,-7.377,0.0486,185.262,0.366,74,234515
Taylor Swift,You Belong With Me (Taylor__ Version),Fearless (Taylor's Version),09/04/21,0.0623,0.632,0.773,0,0.0885,-4.856,0.0346,130.033,0.474,86,231124
Taylor Swift,Breathe (feat. Colbie Caillat) (Taylor__ Version),Fearless (Taylor's Version),09/04/21,0.156,0.506,0.626,0,0.228,-6.066,0.0287,148.035,0.321,69,263377
Taylor Swift,Tell Me Why (Taylor__ Version),Fearless (Taylor's Version),09/04/21,0.0222,0.578,0.909,0,0.333,-3.669,0.0628,100.023,0.541,68,200575
