artist_name,album_release_year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,track_name,album_name,key_mode
Taylor Swift,2021,0.46,0.632,4,-6.031,0.0302,0.0158,0,0.0822,0.399,79.846,223333,FALSE,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),E major
Taylor Swift,2021,0.691,0.736,5,-6.974,0.0326,0.00955,1.88E-05,0.101,0.612,125.089,220520,FALSE,Girl At Home (Taylor's Version),Red (Taylor's Version),F major
Taylor Swift,2021,0.445,0.131,7,-13.778,0.0564,0.663,1.57E-06,0.108,0.101,208.918,321640,FALSE,State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),G major
Taylor Swift,2021,0.623,0.279,0,-10.802,0.031,0.661,0,0.193,0.38,116.04,264253,FALSE,Ronan (Taylor's Version),Red (Taylor's Version),C major
Taylor Swift,2021,0.473,0.579,4,-5.824,0.0384,0.214,0,0.0877,0.255,73.942,297013,FALSE,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),E major
Taylor Swift,2021,0.606,0.377,0,-9.455,0.0275,0.817,0,0.154,0.446,101.96,258812,FALSE,Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault),Red (Taylor's Version),C major
Taylor Swift,2021,0.584,0.743,4,-7.075,0.0931,0.0538,2.83E-06,0.121,0.746,167.844,224240,FALSE,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),E major
Taylor Swift,2021,0.622,0.791,7,-6.106,0.0535,0.00188,3.72E-06,0.083,0.494,115.915,225960,FALSE,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),G major
Taylor Swift,2021,0.391,0.715,0,-4.516,0.0495,0.167,0,0.183,0.473,149.654,285106,TRUE,I Bet You Think About Me (feat. Chris Stapleton) (Taylor's Version) (From The Vault),Red (Taylor's Version),C major
Taylor Swift,2021,0.611,0.552,7,-5.828,0.031,0.256,0,0.134,0.41,116.012,263533,FALSE,Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),G major
Taylor Swift,2021,0.61,0.488,3,-6.918,0.0293,0.817,0,0.312,0.443,125.039,240226,FALSE,Run (feat. Ed Sheeran) (Taylor's Version) (From The Vault),Red (Taylor's Version),D# major
Taylor Swift,2021,0.678,0.733,7,-5.025,0.0281,0.00115,0,0.104,0.581,121.009,200280,FALSE,The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),G major
Taylor Swift,2021,0.631,0.518,0,-8.771,0.0303,0.274,0,0.088,0.205,93.023,613026,TRUE,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),C major
Taylor Swift,2021,0.569,0.741,5,-4.963,0.0282,0.0122,0,0.333,0.43,100.118,241591,FALSE,Fearless (Taylor's Version),Fearless (Taylor's Version),F major
Taylor Swift,2021,0.559,0.646,7,-4.61,0.0272,0.116,0,0.32,0.289,95.466,294419,FALSE,Fifteen (Taylor's Version),Fearless (Taylor's Version),G major
Taylor Swift,2021,0.627,0.792,2,-4.311,0.031,0.13,3.97E-06,0.0845,0.415,119.054,235766,FALSE,Love Story (Taylor's Version),Fearless (Taylor's Version),D major
Taylor Swift,2021,0.788,0.571,6,-6.135,0.0296,0.106,0,0.0934,0.797,115.99,254254,FALSE,Hey Stephen (Taylor's Version),Fearless (Taylor's Version),F# major
Taylor Swift,2021,0.423,0.517,0,-7.377,0.0486,0.369,0,0.177,0.366,185.262,234515,FALSE,White Horse (Taylor's Version),Fearless (Taylor's Version),C major
Taylor Swift,2021,0.632,0.773,6,-4.856,0.0346,0.0623,0,0.0885,0.474,130.033,231124,FALSE,You Belong With Me (Taylor's Version),Fearless (Taylor's Version),F# major
Taylor Swift,2021,0.506,0.626,1,-6.066,0.0287,0.156,0,0.228,0.321,148.035,263377,FALSE,Breathe (feat. Colbie Caillat) (Taylor's Version),Fearless (Taylor's Version),C# major
Taylor Swift,2021,0.578,0.909,7,-3.669,0.0628,0.0222,0,0.333,0.541,100.023,200575,FALSE,Tell Me Why (Taylor's Version),Fearless (Taylor's Version),G major
Taylor Swift,2021,0.506,0.444,6,-4.99,0.0285,0.0538,0,0.123,0.241,133.873,261842,FALSE,You're Not Sorry (Taylor's Version),Fearless (Taylor's Version),F# major
Taylor Swift,2021,0.402,0.732,5,-4.665,0.0484,0.0033,0,0.108,0.472,161.032,243136,FALSE,The Way I Loved You (Taylor's Version),Fearless (Taylor's Version),F major
Taylor Swift,2021,0.598,0.821,10,-4.433,0.0447,0.0231,0,0.143,0.673,128.03,225328,FALSE,Forever & Always (Taylor's Version),Fearless (Taylor's Version),A# major
Taylor Swift,2021,0.642,0.576,1,-8.524,0.0282,0.488,0,0.159,0.469,125,245290,FALSE,The Best Day (Taylor's Version),Fearless (Taylor's Version),C# major
Taylor Swift,2021,0.499,0.815,5,-4.063,0.0341,0.000191,0,0.181,0.344,95.999,279359,FALSE,Change (Taylor's Version),Fearless (Taylor's Version),F major
Taylor Swift,2021,0.572,0.69,2,-6.201,0.0358,0.0474,0,0.0897,0.624,160.111,237580,FALSE,Jump Then Fall (Taylor's Version),Fearless (Taylor's Version),D major
Taylor Swift,2021,0.393,0.531,5,-6.112,0.0329,0.0181,0,0.169,0.224,200.391,312107,FALSE,Untouchable (Taylor's Version),Fearless (Taylor's Version),F major
Taylor Swift,2021,0.546,0.273,9,-9.208,0.0308,0.819,0,0.137,0.271,118.753,267833,FALSE,Forever & Always (Piano Version) (Taylor's Version),Fearless (Taylor's Version),A major
Taylor Swift,2021,0.476,0.564,2,-5.677,0.0269,0.0406,0,0.102,0.167,143.929,237338,FALSE,Come In With The Rain (Taylor's Version),Fearless (Taylor's Version),D major
Taylor Swift,2021,0.454,0.555,2,-6.69,0.0283,0.157,0,0.343,0.171,171.862,263865,FALSE,Superstar (Taylor's Version),Fearless (Taylor's Version),D major
Taylor Swift,2021,0.432,0.873,4,-4.367,0.0577,0.0279,0,0.167,0.629,163.936,238443,FALSE,The Other Side Of The Door (Taylor's Version),Fearless (Taylor's Version),E major
Taylor Swift,2021,0.482,0.779,7,-5.025,0.0409,0.0135,0,0.296,0.328,158.162,241822,FALSE,Today Was A Fairytale (Taylor's Version),Fearless (Taylor's Version),G major
Taylor Swift,2021,0.599,0.494,2,-7.61,0.0372,0.816,0,0.101,0.44,142.893,220839,FALSE,You All Over Me (feat. Maren Morris) (Taylor's Version) (From The Vault),Fearless (Taylor's Version),D major
Taylor Swift,2021,0.66,0.817,11,-6.269,0.0521,0.162,0,0.0667,0.714,135.942,277591,FALSE,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Fearless (Taylor's Version),B minor
Taylor Swift,2021,0.609,0.373,0,-8.819,0.0263,0.849,0,0.0779,0.13,106.007,244236,FALSE,We Were Happy (Taylor's Version) (From The Vault),Fearless (Taylor's Version),C major
Taylor Swift,2021,0.588,0.608,5,-7.062,0.0365,0.225,0,0.092,0.508,90.201,189495,FALSE,That's When (feat. Keith Urban) (Taylor's Version) (From The Vault),Fearless (Taylor's Version),F major
Taylor Swift,2021,0.563,0.473,3,-11.548,0.0503,0.514,1.20E-05,0.109,0.405,101.934,208608,FALSE,Don't You (Taylor's Version) (From The Vault),Fearless (Taylor's Version),D# major
